Date,Store_ID,lat_lon,highest_temperature,precipitation_percent,precipitation_mm,weather_code
2025-01-01,HH,34.0039:-117.9653,68.8,0,0.0,3
2025-01-02,HH,34.0039:-117.9653,77.2,0,0.0,3
2025-01-03,HH,34.0039:-117.9653,66.9,0,0.0,3
2025-01-04,HH,34.0039:-117.9653,64.0,0,0.0,3
2025-01-05,HH,34.0039:-117.9653,75.0,0,0.0,3
2025-01-06,HH,34.0039:-117.9653,71.9,0,0.0,3
2025-01-07,HH,34.0039:-117.9653,68.9,0,0.0,3
2025-01-08,HH,34.0039:-117.9653,69.3,0,0.0,3
2025-01-09,HH,34.0039:-117.9653,72.2,0,0.0,0
2025-01-10,HH,34.0039:-117.9653,69.8,0,0.0,0
2025-01-11,HH,34.0039:-117.9653,67.7,0,0.0,0
2025-01-12,HH,34.0039:-117.9653,67.2,0,0.0,0
2025-01-13,HH,34.0039:-117.9653,66.2,0,0.0,0
2025-01-14,HH,34.0039:-117.9653,65.9,0,0.0,0
2025-01-15,HH,34.0039:-117.9653,69.4,0,0.0,0
2025-01-16,HH,34.0039:-117.9653,67.0,0,0.0,3
2025-01-17,HH,34.0039:-117.9653,60.7,0,0.0,3
2025-01-18,HH,34.0039:-117.9653,63.5,0,0.0,2
2025-01-19,HH,34.0039:-117.9653,61.6,0,0.0,3
2025-01-20,HH,34.0039:-117.9653,67.8,0,0.0,3
2025-01-21,HH,34.0039:-117.9653,67.6,0,0.0,3
2025-01-22,HH,34.0039:-117.9653,74.9,0,0.0,3
2025-01-23,HH,34.0039:-117.9653,75.8,0,0.0,0
2025-01-24,HH,34.0039:-117.9653,73.1,0,0.0,3
2025-01-25,HH,34.0039:-117.9653,61.3,0,1.1,51
2025-01-26,HH,34.0039:-117.9653,53.2,0,11.1,61
2025-01-27,HH,34.0039:-117.9653,55.3,0,0.3,51
2025-01-28,HH,34.0039:-117.9653,57.6,0,0.0,3
2025-01-29,HH,34.0039:-117.9653,58.6,0,0.0,3
2025-01-30,HH,34.0039:-117.9653,55.6,0,0.1,51
2025-01-31,HH,34.0039:-117.9653,60.4,0,0.0,3
2025-02-01,HH,34.0039:-117.9653,66.4,0,0.0,3
2025-02-02,HH,34.0039:-117.9653,71.5,0,0.0,3
2025-02-03,HH,34.0039:-117.9653,66.9,0,0.0,3
2025-02-04,HH,34.0039:-117.9653,63.8,0,0.0,3
2025-02-05,HH,34.0039:-117.9653,59.5,0,4.2,53
2025-02-06,HH,34.0039:-117.9653,61.1,0,7.1,55
2025-02-07,HH,34.0039:-117.9653,61.3,0,7.7,61
2025-02-08,HH,34.0039:-117.9653,63.6,0,0.0,3
2025-02-09,HH,34.0039:-117.9653,68.0,0,0.0,3
2025-02-10,HH,34.0039:-117.9653,60.5,0,0.0,3
2025-02-11,HH,34.0039:-117.9653,59.8,0,0.0,3
2025-02-12,HH,34.0039:-117.9653,52.6,0,4.1,53
2025-02-13,HH,34.0039:-117.9653,56.9,0,48.7,63
2025-02-14,HH,34.0039:-117.9653,59.3,0,7.5,61
2025-02-15,HH,34.0039:-117.9653,64.1,0,0.0,3
2025-02-16,HH,34.0039:-117.9653,67.9,0,0.0,3
2025-02-17,HH,34.0039:-117.9653,66.3,0,0.0,3
2025-02-18,HH,34.0039:-117.9653,65.0,0,0.0,3
2025-02-19,HH,34.0039:-117.9653,69.5,0,0.0,3
2025-02-20,HH,34.0039:-117.9653,70.4,0,0.0,3
2025-02-21,HH,34.0039:-117.9653,74.1,0,0.0,3
2025-02-22,HH,34.0039:-117.9653,75.3,0,0.0,3
2025-02-23,HH,34.0039:-117.9653,78.4,0,0.0,0
2025-02-24,HH,34.0039:-117.9653,78.2,0,0.0,0
2025-02-25,HH,34.0039:-117.9653,78.6,0,0.0,0
2025-02-26,HH,34.0039:-117.9653,81.6,0,0.0,3
2025-02-27,HH,34.0039:-117.9653,81.4,0,0.0,3
2025-02-28,HH,34.0039:-117.9653,75.2,0,0.0,3
2025-03-01,HH,34.0039:-117.9653,65.8,0,1.7,53
2025-03-02,HH,34.0039:-117.9653,61.1,0,10.0,63
2025-03-03,HH,34.0039:-117.9653,61.8,0,0.0,2
2025-03-04,HH,34.0039:-117.9653,67.8,0,0.0,3
2025-03-05,HH,34.0039:-117.9653,56.9,0,14.2,61
2025-03-06,HH,34.0039:-117.9653,53.5,0,10.5,61
2025-03-07,HH,34.0039:-117.9653,58.3,0,0.0,3
2025-03-08,HH,34.0039:-117.9653,64.5,0,0.0,0
2025-03-09,HH,34.0039:-117.9653,71.8,0,0.0,0
2025-03-10,HH,34.0039:-117.9653,72.2,0,0.0,3
2025-03-11,HH,34.0039:-117.9653,59.5,0,5.7,61
2025-03-12,HH,34.0039:-117.9653,61.9,0,3.3,53
2025-03-13,HH,34.0039:-117.9653,53.3,0,26.2,65
2025-03-14,HH,34.0039:-117.9653,48.6,0,3.1,53
2025-03-15,HH,34.0039:-117.9653,62.0,0,0.0,3
2025-03-16,HH,34.0039:-117.9653,66.9,0,0.0,3
2025-03-17,HH,34.0039:-117.9653,65.7,0,0.5,51
2025-03-18,HH,34.0039:-117.9653,66.5,0,0.0,0
2025-03-19,HH,34.0039:-117.9653,76.9,0,0.0,3
2025-03-20,HH,34.0039:-117.9653,76.2,0,0.0,3
2025-03-21,HH,34.0039:-117.9653,80.0,0,0.0,3
2025-03-22,HH,34.0039:-117.9653,77.6,0,0.0,3
2025-03-23,HH,34.0039:-117.9653,79.6,0,0.0,3
2025-03-24,HH,34.0039:-117.9653,91.4,0,0.0,0
2025-03-25,HH,34.0039:-117.9653,81.2,0,0.0,3
2025-03-26,HH,34.0039:-117.9653,67.7,0,0.0,3
